                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.4299,                 3.0307,                 1.6849,                0.01398,                0.81387,                0.28644,                0.18923,                 1.1673,                 3.0714,                 1.3766,             0.00011669,             0.00011669,             0.00011669
                      2,                 1.4072,                 2.3199,                 1.5189,                0.46185,                0.54873,                0.36324,                0.24162,                 1.2673,                 2.7205,                 1.3682,              0.0002253,              0.0002253,              0.0002253
                      3,                 1.3741,                 1.6986,                 1.4573,                 0.4468,                 0.5831,                0.42873,                0.28119,                 1.2793,                 2.6755,                 1.3529,             0.00030749,             0.00030749,             0.00030749
                      4,                 1.2736,                 1.4877,                 1.3925,                0.91683,                0.46183,                0.59071,                0.37011,                 1.3531,                 2.4096,                 1.4482,             0.00036329,             0.00036329,             0.00036329
                      5,                 1.2658,                 1.3255,                 1.3508,                0.90316,                0.52952,                0.64226,                0.37983,                 1.4142,                 2.1738,                 1.4367,             0.00039268,             0.00039268,             0.00039268
                      6,                 1.2803,                 1.2859,                 1.3424,                0.85201,                0.53702,                 0.6584,                  0.409,                 1.3158,                  2.128,                 1.3371,             0.00039566,             0.00039566,             0.00039566
                      7,                 1.1858,                 1.1954,                 1.2743,                0.85627,                0.57215,                0.66241,                0.40224,                 1.3615,                 1.9766,                 1.3643,             0.00037224,             0.00037224,             0.00037224
                      8,                 1.2184,                 1.1328,                 1.2581,                0.89206,                0.64801,                 0.7169,                0.45365,                 1.3284,                 1.5552,                 1.2995,             0.00032241,             0.00032241,             0.00032241
                      9,                 1.1444,                 1.1079,                 1.2169,                0.89038,                0.64911,                 0.7319,                0.48547,                 1.2871,                 1.3914,                 1.2579,             0.00024618,             0.00024618,             0.00024618
                     10,                 1.1468,                  1.017,                 1.2432,                0.88223,                0.67371,                0.74172,                0.48977,                 1.2917,                 1.3473,                 1.2574,             0.00014355,             0.00014355,             0.00014355
